STT,type,name,score-text,Main Ingredients,Calories (Approx.),Suitable Time,Origin / Province
40,Meat Dish,Raw Blood Pudding (Tiết canh),2.5,"Fresh blood (duck/pig/goat), cartilage, herbs, peanuts, lime",100 - 150,Breakfast / Lunch (Festive),Northern Vietnam
41,Rice Dish,Square Sticky Rice Cake (Bánh chưng),4,"Glutinous rice, mung bean, pork belly, dong leaves",300 - 400 (per slice),Tet Holiday / Breakfast,Northern Vietnam
42,Dumplings,Stuffed Tapioca Dumplings (Bánh bột lọc),4.2,"Tapioca starch, shrimp, pork belly, fish sauce dip",40 - 60 (per piece),Snack / Appetizer,Hue (Central Vietnam)
43,Rice Dish,Bamboo Cooked Sticky Rice (Cơm lam),4,Glutinous rice cooked inside bamboo tubes,200 - 300 (per tube),Lunch / Dinner,Northwest / Central Highlands
44,Rice Dish,Chicken Sticky Rice (Xôi gà),4.1,"Glutinous rice, shredded chicken, fried shallots, soy sauce",400 - 500,Breakfast,Nationwide
45,Sandwich,Cold Cut Banh Mi (Bánh mì đặc biệt),4.2,"Baguette, pate, ham, head cheese, pork floss, mayo",450 - 550,Breakfast / Lunch,Nationwide
46,Wrap,Spring Rolls with Chinese Sausage (Bò bía),4.1,"Jicama, Chinese sausage, dried shrimp, egg, hoisin sauce",80 - 100 (per roll),Snack,Southern Vietnam (Saigon)
47,Pancake,Hue Pancake (Bánh khoai),4.3,"Rice flour, turmeric, shrimp, pork, egg (fried crispy)",300 - 400,Snack / Main,Hue
48,Sausage Dish,Vietnamese Grilled Pork Sausage (Nem nướng),4.3,"Ground pork, garlic, sugar, served with rice paper & herbs",400 - 500 (per set),Lunch / Dinner,Nha Trang / Dalat
49,Snack,Cured Fermented Beef or Pork (Nem chua),3.4,"Pork, pork skin, garlic, chili, guava leaves (fermented)",30 - 50 (per piece),Snack / Appetizer,Thanh Hoa / Lai Vung
50,Dessert,Vietnamese Fruit Cocktail (Chè Thái),3.8,"Canned fruits, jackfruit, durian, jelly, coconut milk",300 - 400,Dessert,Nationwide (Thai adaptation)
51,Chicken Dish,Boiled Chicken (Gà luộc),3.7,"Whole chicken, ginger, turmeric (skin), lime leaf",200 - 250 (per serving),Main / Festive,Nationwide
52,Dumplings,Rice and Pork Pyramid Dumpling (Bánh giò),4,"Rice flour dough, minced pork, wood ear mushroom",300 - 350,Breakfast / Snack,Hanoi
53,Sauce,Mắm nêm,4.1,"Fermented fish, pineapple, sugar, chili, garlic",40 - 60 (dip),Condiment (Dip),Central Vietnam (Da Nang)
54,Soup,Vietnamese Hot Pot,4.1,"Bone broth, mixed meats, seafood, vegetables, noodles",500 - 800,Dinner / Party,Nationwide
55,Pancake,Vietnamese Mini Savory Pancakes (Bánh khọt),4.3,"Rice flour, coconut milk, shrimp, scallion oil",50 - 80 (per cake),Breakfast / Snack,Vung Tau
56,Street Food Sweets,Vietnamese Fried Bananas (Chuối chiên),4,"Ripe bananas, flour batter, sesame seeds",150 - 200,Snack,Nationwide
57,Noodle Soup,Red Noodle Soup with Crab (Bánh đa cua),4,"Red flat noodles, field crab paste, water spinach",400 - 500,Breakfast / Lunch,Hai Phong
58,Breakfast,Vietnamese Steak and Eggs (Bò né),4.3,"Beef steak, egg, pate, butter, baguette",500 - 700,Breakfast,Southern Vietnam
59,Pork Dish,Vietnamese Caramelized Pork Belly (Thịt kho tàu),4.5,"Pork belly, boiled eggs, coconut water, fish sauce",300 - 400 (small bowl),Main (Tet Holiday),Southern Vietnam
60,Beef Dish,Vietnamese Shaking Beef (Bò lúc lắc),4.5,"Cubed beef, bell peppers, onions, soy sauce",400 - 500,Lunch / Dinner,Southern Vietnam
61,Street Food Sweets,Vietnamese Donuts (Bánh cam),3.8,"Glutinous rice flour, mung bean paste, sesame, sugar glaze",200 - 250,Snack,Southern Vietnam
62,Porridge,Vietnamese Pork Offal Porridge (Cháo lòng),3.9,"Rice porridge, pig blood curd, intestine, liver, stomach",350 - 450,Breakfast / Dinner,Nationwide
63,Soup,Snail Noodle Soup (Bún ốc),3.8,"Vermicelli, freshwater snails, tomatoes, vinegar broth",350 - 450,Breakfast / Lunch,Hanoi
64,Fish Soup,Vietnamese Sweet and Sour Soup (Canh chua cá),4.2,"Fish (catfish/snakehead), pineapple, tamarind, tomato",150 - 200 (soup only),Lunch / Dinner,Mekong Delta
65,Dessert,Vietnamese Honeycomb Cake (Bánh bò),3.9,"Rice flour, yeast, sugar, coconut milk (steamed/baked)",100 - 150,Snack / Dessert,Southern Vietnam
66,Pancake,Steamed Wet Pancakes (Bánh ướt),3.6,"Thin steamed rice sheets, Vietnamese ham (Ch?), fish sauce",300 - 400,Breakfast,Central / Nationwide
67,Cake,Vietnamese Banana Cake (Bánh chuối),3.9,"Bananas, bread/flour, coconut milk, condensed milk",200 - 300,Dessert,Nationwide
68,Dessert,Thorn Leaf Cake (Bánh gai),3.4,"Glutinous rice, ramie leaves (black color), mung bean, coconut",150 - 200,Snack / Gift,Nam Dinh
69,Meat Jelly Dish,Vietnamese Pork Aspic (Thịt đông),3.2,"Pork leg, pork skin, wood ear mushroom, pepper (jellied)",200 - 300,Main (Winter/Tet),Northern Vietnam
70,Rice Dish,Xôi gấc,3.8,"Glutinous rice, Gac fruit (Momordica cochinchinensis)",300 - 400,Breakfast / Festive,Nationwide
71,Meatballs,Vietnamese beef meatballs (Bo vien),3.8,"Beef, tendon, spices (served in soup or fried)",150 - 200 (per 100g),Side Dish / Snack,Nationwide
72,Beef Dish,Beef in Vinegar Hot Pot (Bò nhúng dấm),4.7,"Thinly sliced beef, vinegar & coconut water broth, rice paper",400 - 600,Dinner,Nationwide
73,Stir-fry,Morning Glory Stir-Fry (Rau muống xào tỏi),4.3,"Water spinach, garlic, oil, fish sauce",100 - 150,Side Dish,Nationwide
74,Sweet Soup,Sticky Rice Balls in Ginger Syrup (Chè trôi nước),4.1,"Glutinous rice, mung bean filling, ginger syrup, coconut milk",300 - 400,Dessert,Southern Vietnam
75,Freshwater Fish Dish,Caramelized Fish in Clay Pot (Cá kho tộ),3.9,"Catfish/Snakehead fish, caramel sauce, fish sauce, pepper",200 - 300,Main Course,Southern Vietnam
76,Squid Dish,Vietnamese Sun-Dried Squid (Mực một nắng),4.1,"Squid (dried for one day), grilled",100 - 150 (per 100g),Snack (with beer),Coastal Regions (Phan Thiet)
77,Sweet Pastry,Mooncake (Bánh trung thu),3.4,"Flour/Pastry, lotus seed/mixed nut/egg yolk filling",700 - 1000 (per cake),Mid-Autumn Festival,Nationwide
78,Appetizer,Pho Rolls (Phở cuốn),3.6,"Uncut Pho sheets, stir-fried beef, herbs, dipping sauce",50 - 70 (per roll),Snack / Lunch,Hanoi
79,Appetizer,Little Cake (Bánh ít),3.2,"Glutinous rice flour, mung bean or shrimp filling, banana leaf",150 - 200,Snack / Rituals,Central Vietnam (Binh Dinh)
80,Noodle Dish,Crab Tapioca Noodle Soup (Bánh canh cua),,"Thick tapioca noodles, crab meat, quail eggs, thick broth",400 - 550,Breakfast / Dinner,Southern Vietnam
81,Appetizer,Shrimp and Sweet Potato Fritters (Bánh tôm),4,"Sweet potato strips, shrimp, flour batter (deep-fried)",300 - 400,Snack,Hanoi (West Lake)
82,Chicken Dish,Grilled Sapa Black Chicken (Gà bản đến nướng),,"Black chicken (Silkie), honey, wild spices",250 - 350,Main Course,Sapa (Northern Mountains)
83,Dessert,Banana Coconut Tapioca Pudding (Chè chuối),3.6,"Banana, tapioca pearls, coconut milk, roasted peanuts",250 - 350,Dessert,Southern Vietnam
84,Stir-fry,Stir-Fried Pho (Phở xào),4.2,"Pho noodles, beef, bok choy, gravy sauce",500 - 650,Lunch / Dinner,Nationwide
85,Noodle Dish,Fried Fish Cake Noodle Soup (Bún chả cá),3.8,"Vermicelli, fried fish cakes, pineapple, pumpkin broth",350 - 450,Breakfast / Lunch,Da Nang / Nha Trang
86,Noodle Dish,Nam Vang Noodle Soup (Hủ tiếu Nam Vang),4,"Tapioca/Rice noodles, minced pork, shrimp, liver, quail egg",400 - 500,Breakfast / Dinner,Southern Vietnam
87,Noodle Dish,Mixed Pho (Phở trộn),3.9,"Pho noodles, chicken/beef, soy sauce dressing, herbs, peanuts",450 - 550,Lunch / Dinner,Hanoi
88,Rice Dish,Broken Rice with Grilled Pork (Cơm tấm sườn),4.3,"Broken rice, grilled pork chop, scallion oil, fish sauce",600 - 800,Breakfast / Lunch,Ho Chi Minh City
89,Sandwich,Roasted Pork Belly Bánh Mì (Bánh mì heo quay),4.5,"Baguette, crispy roast pork belly, cucumber, sauce",500 - 600,Breakfast / Lunch,Nationwide
90,Pork Dish,Grilled Ground Pork on Lemongrass Skewers (Nem lui),4.3,"Minced pork wrapped on lemongrass stalks, peanut sauce",50 - 70 (per skewer),Main / Wrap,Hue
91,Snack,Sugared or Salted Fruit (Ô mai),,"Apricot, plum, dracontomelon, ginger, sugar, salt, chili",20 - 40 (per piece),Snack,Hanoi
92,Offal Soup,Vietnamese Pork Rind Soup (Canh bóng),,"Dried pig skin, broccoli, carrots, mushrooms, meatballs",150 - 200,Main (Festive/Tet),Hanoi
93,Pancake,Vietnamese Mini Pancakes (Bánh căn),3.5,"Rice flour, quail egg, green mango, scallion oil",40 - 60 (per pair),Breakfast / Dinner,Dalat / Ninh Thuan
94,Street Food,Vietnamese Rice Balls (Cơm nắm),,"Compressed cooked rice, sesame and peanut salt (mu?i v?ng)",200 - 300,Snack / Picnic,Northern Vietnam
95,Vegetable Soup,Vietnamese Bamboo Shoots Soup (Canh măng),,"Dried or fresh bamboo shoots, pork trotters or duck",200 - 300,Main (Tet Holiday),Nationwide
96,Sweet Soup,Vietnamese Mung Bean Sweet Soup (Chè đậu xanh),3.1,"Mung beans, sugar, coconut milk (optional)",200 - 300,Dessert,Nationwide
97,Rice Dish,Green Sticky Rice (Cốm),3.5,Young glutinous rice (immature),250 - 300 (per 100g),Snack / Dessert,Hanoi (Vong Village)
98,Sandwich,Meatball Bánh Mì (Bánh mì xíu mại),3.8,"Baguette, pork meatballs, tomato sauce",400 - 500,Breakfast,Dalat
99,Chicken Soup,Vietnamese Chicken and Glass Noodle Soup (Miến gà),3.9,"Glass noodles (mung bean), chicken broth, shredded chicken",300 - 400,Breakfast / Lunch,Nationwide
100,Appetizer,Sugar Cane Shrimp (Chạo tôm),4.4,"Shrimp paste wrapped around sugar cane, grilled",100 - 150 (per piece),Appetizer / Main,Hue / Southern Vietnam
101,Fish Dish,Turmeric Fish with Dill and Noodles (Chả cá Lã Vọng),4.6,"Hemibagrus/Catfish, dill, scallion, shrimp paste, peanuts",500 - 600,Lunch / Dinner,Hanoi
102,Noodle Soup,Northern Vietnamese Beef Pho (Phở bò tái chín),4.3,"Flat rice noodles, rare & cooked beef, clear bone broth, green onion",400 - 500,Breakfast / Dinner,Hanoi / Nam Dinh
103,Salad,Papaya salad (Gỏi đu đủ),4.2,"Green papaya, beef jerky, peanuts, Thai basil, soy sauce dressing",150 - 250,Snack / Appetizer,Hanoi / Saigon
104,Rice Dish,Red River Delta Steamed Rice Cake (Bánh tẻ),,"Rice flour, minced pork, wood ear mushroom, dong leaves",100 - 150 (per cake),Breakfast / Snack,Hung Yen / Hanoi
105,Sweet Soup,Lotus Seeds and Green Rice Flakes Sweet Soup (Chè hạt sen),3.3,"Lotus seeds, rock sugar, longan (optional)",150 - 250,Dessert / Snack,Hue
106,Sweet Soup,Pomelo Sweet Soup (Chè bưởi),3.6,"Pomelo pith, mung bean, coconut milk, tapioca starch",250 - 350,Dessert,An Giang (Mekong Delta)
107,Pudding,Vietnamese Taro Pudding (Chè khoai môn),3.3,"Taro, sticky rice, coconut milk, pandan leaf",300 - 400,Dessert,Southern Vietnam
108,Salad,Nộm,4,"Green papaya/mango/banana flower, peanuts, herbs, sweet & sour sauce",100 - 150,Appetizer,Northern Vietnam
109,Salad,Vietnamese Shredded Chicken Salad (Gỏi gà),3.6,"Shredded chicken, onion, cabbage, laksa leaves, fish sauce",200 - 300,Appetizer / Side,Nationwide
110,Salad,Vietnamese Beef Salad (Gỏi bò),3.8,"Beef slices, onions, celery, lime dressing, peanuts",250 - 350,Appetizer,Nationwide
111,Fish Dish,Vu Dai Braised Fish,,"Black carp, galangal, ginger, pork belly, stewed in clay pot",200 - 300,Main Course,Ha Nam
112,Rice Dish,Clam Rice (Cơm hến),,"Cold rice, baby clams, pork cracklings, shrimp paste, herbs, broth",300 - 450,Breakfast / Lunch,Hue
113,Dumplings,Flat Steamed Rice Dumplings (Bánh nậm),4.2,"Rice flour batter, minced shrimp, pork, banana leaf",30 - 50 (per cake),Snack / Appetizer,Hue
114,Sandwich,Grilled Chicken Bánh Mì (Bánh mì gà nướng),4,"Baguette, grilled chicken, cucumber, pickled carrots",450 - 550,Breakfast / Lunch,Nationwide
115,Noodle Soup,Pork Ball Vermicelli Soup (Bún mọc),3.8,"Vermicelli, pork paste balls (m?c), pork ribs, shiitake mushrooms",400 - 500,Breakfast / Lunch,Hanoi
116,Noodle Soup,Vegan Pho (Pho chay),4.2,"Rice noodles, vegetable broth (radish/carrot), tofu, mock meat",300 - 400,Breakfast / Lunch,Nationwide
117,Chicken Dish,Lemongrass Chicken (Gà kho sả ớt),4.1,"Chicken, lemongrass, chili, fish sauce, turmeric",250 - 350,Main Course,Southern / Central
118,Noodle Dish,Rice Vermicelli with Jellyfish and Fish (Bún cá sứa),,"Vermicelli, crunchy jellyfish, fried fish cake, clear broth",350 - 450,Breakfast / Lunch,Nha Trang / Quy Nhon
119,Cooked Sausage,Vietnamese Beef Roll (Chả bò),,"Lean beef paste, black pepper, banana leaf wrapper",100 - 150 (per 100g),Snack / Main,Da Nang
120,Snack,Vietnamese Donuts (Bánh tiêu),3.3,"Wheat flour, sugar, sesame seeds (deep-fried)",100 - 150,Snack,Southern Vietnam
121,Dumplings,Crispy Dumplings (Bánh gối),,"Flour wrapper, minced pork, glass noodle, egg, mushroom",200 - 300 (per piece),Snack (Afternoon),Hanoi
122,Dessert,Vietnamese Rice Wine Dessert (Cơm rượu),,"Fermented glutinous rice balls, syrup",150 - 200,Dessert,Southern Vietnam
123,Sandwich,Fish Cake Banh Mi (Bánh mì chả cá),,"Baguette, fried fish cake, cucumber, laksa leaves, chili sauce",400 - 500,Breakfast / Street Food,Nha Trang / Vung Tau
124,Dessert,Sticky Rice Ginger Peanut Bars (Chè lam),,"Roasted sticky rice flour, molasses, ginger, peanuts",100 - 150 (per slice),Snack (Tea pairing),Hanoi (Thach That)
125,Noodle Soup,Cellophane Noodles with Eel (Miến lươn),,"Glass noodles, crispy or soft eel, laksa leaves, bean sprouts",350 - 450,Breakfast / Lunch,Nghe An / Hanoi
126,Soup,Winter Melon Soup (Canh bí đao),,"Winter melon, pork ribs or ground pork, scallions",100 - 150,Main Course,Nationwide
127,Stew,Thắng cố,,"Horse meat, offal, traditional spices (cardamom, cinnamon)",300 - 500,Lunch / Festive,Lao Cai (Hmong people)
128,Rice Dish,Xôi vò,,"Glutinous rice, mung bean paste (loose grains), oil",300 - 400,Breakfast / Festive,Nationwide
129,Rice Dish,Xôi ngũ sắc,,"Glutinous rice dyed with natural plants (magenta, turmeric, pandan)",300 - 450,Festive / Breakfast,Northwest (Tay/Thai people)
130,Freshwater Fish Dish,Grilled Snakehead Fish (Cá lóc nướng trui),,"Whole snakehead fish (grilled in straw), tamarind sauce, herbs",150 - 200,Main Course,Mekong Delta
131,Side Dish,Vietnamese Herb Platter (Đĩa rau sống),4.1,"Lettuce, mint, perilla, basil, coriander, cucumber",20 - 50,Side Dish,Nationwide
132,Appetizer,Rare Beef in Lime Juice Salad (Bò tái chanh),4,"Rare beef cured in lime juice, onions, herbs, peanuts, prawn crackers",200 - 300,Appetizer / Beer Snack,Nationwide
133,Noodle Dish,Rice Noodle Bowls with Pork and Spring Rolls (Bún thịt nướng chả giò),4.3,"Vermicelli, grilled pork, spring rolls, veggies, fish sauce",550 - 700,Lunch / Dinner,Southern Vietnam
134,Dessert,Pop Rice,3.9,"Puffed rice, sugar (tube shape)",50 - 100 (per piece),Snack,Nationwide
135,Sweet Soup,Three Color Dessert (Chè ba màu),4.2,"Mung bean paste, red beans, green jelly, coconut milk",300 - 400,Dessert,Nationwide
136,Fruit Salad,Vietnamese Fruit Salad (Hoa quả dầm),,"Mixed tropical fruits, condensed milk, yogurt, shaved ice",200 - 300,Snack / Dessert,Hanoi
137,Savory Pastry,Pâté chaud,,"Puff pastry, minced pork/liver pate filling",250 - 350,Breakfast / Snack,French-Vietnamese
138,Salad,Vietnamese Lotus Root Salad (Gỏi ngó sen),,"Pickled lotus root, shrimp, pork belly, carrots, peanuts",150 - 250,Appetizer / Party,Southern Vietnam
139,Dessert,Husband and Wife Cake (Bánh phu thê),,"Tapioca flour, mung bean, coconut shreds, wrapped in leaves",100 - 150,Wedding / Snack,Bac Ninh
140,Noodle Soup,Kiên Giang Fish and Shrimp Noodle Soup (Bún cá Kiên Giang),,"Vermicelli, snakehead fish, shrimp, turmeric broth",350 - 450,Breakfast / Lunch,Kien Giang
141,Soup,Mushroom and Seafood Soup (Canh nấm tràm),,"Melaleuca mushrooms, shrimp, squid or pork",100 - 150,Lunch / Dinner,Phu Quoc
142,Soup,Duck Noodle Soup with Bamboo Shoots (Bún măng vịt),4.1,"Vermicelli, duck meat, dried or fresh bamboo shoots",400 - 550,Breakfast / Lunch,Nationwide
143,Sandwich,Fried Egg Bánh Mì (Bánh mì ốp la),3.7,"Baguette, sunny-side-up eggs, soy sauce, pepper",350 - 450,Breakfast,Nationwide
144,Noodle Soup,Seafood Pho (Phở hải sản),4.2,"Rice noodles, shrimp, squid, clams, seafood broth",350 - 450,Breakfast / Lunch,Coastal Regions
145,Snack,Fried Shrimp Cake (Bánh cống),,"Rice/mung bean flour batter, shrimp, minced pork (deep-fried cup shape)",250 - 350 (per cake),Snack / Dinner,Soc Trang
146,Stir-fry,Crab Meat and Glass Noodle Stir-Fry (Miến xào cua),,"Glass noodles, crab meat, wood ear mushroom, veggies",400 - 500,Lunch / Dinner,Nationwide
147,Porridge,Vietnamese Duck Porridge (Chao vit),,"Rice porridge, ginger fish sauce, duck salad side dish",300 - 450,Dinner / Late Night,Nationwide
148,Side Dish,Vietnamese Fermented Shrimp (Mắm tôm chua),,"Shrimp fermented with galangal, garlic, chili, alcohol",30 - 50 (condiment),Side (with boiled pork),Hue
149,Salad,Vietnamese Jellyfish Salad (Gỏi sứa),,"Jellyfish, green mango, carrot, herbs, peanuts",100 - 150,Appetizer,Coastal Regions
150,Noodle Soup,Sour Pho (Phở chua),,"Rice noodles, roast duck/pork, peanuts, sour tamarind sauce",500 - 600,Breakfast / Lunch,Lang Son
151,Street Food,Steamed Wet Cake with Chicken and Innards (Bánh ướt lòng gà),,"Steamed rice sheets, shredded chicken, chicken heart/liver, herbs, fish sauce",400 - 500,Breakfast / Lunch,Dalat (Lam Dong)
152,Salad,Vietnamese Raw Herring Salad (Gỏi cá trích),,"Fresh raw herring, grated coconut, onion, herbs, rice paper",200 - 300,Lunch / Dinner,Phu Quoc / Kien Giang
153,Porridge,Vietnamese Rice Porridge with Chicken (Chao ga),,"Rice, chicken broth, shredded chicken, ginger, scallions",300 - 400,Breakfast / Late Night,Nationwide
154,Freshwater Fish Dish,Deep-Fried Elephant Ear Fish (Cá tai tượng chiên xù),,"Whole Giant Gourami fish (deep-fried scales on), rice paper, tamarind sauce",300 - 400 (meat),Main Course,Mekong Delta (Vinh Long)
155,Duck Dish,Raw Duck Blood Pudding (Tiet canh vit),,"Fresh duck blood, minced duck neck meat/cartilage, herbs, peanuts",100 - 150,Breakfast / Lunch,Nationwide
156,Rice Dish,Tam Ky Chicken Rice (Cơm gà Tam Kỳ),,"Rice cooked in chicken fat/turmeric, boiled chicken, laksa leaves",600 - 700,Lunch,Quang Nam
157,Noodle Dish,Vietnamese Dry Noodles (Hủ tiếu khô),,"Chewy tapioca/rice noodles, minced pork, shrimp, broth served on side",400 - 500,Breakfast / Dinner,Southern Vietnam (Sa Dec / Nam Vang)
158,Snail Dish,Sea Snails in Coconut Milk (Ốc len xào dừa),3.7,"Mud creeper snails, coconut milk, lemongrass, coriander",300 - 400,Snack / Dinner,Ca Mau / Mekong Delta
